title,authors,year,venue,occurrence_count,relevance,source_pdfs
Event-based vision: A survey,"G. Gallego, T. Delbruck, G. Orchard, C. Bartolozzi, B. Taba, A. Censi, S. Leutenegger, A. Davison, J. Conradt, K. Daniilidis et al",2019,arXiv preprint arXiv:,184,topical+frequent,"1903_06531;1907_07518;2003_02790;2004_05450;2010_08350;2011_00534;2011_03290;2012_06516;2012_08730;2102_11916;2103_02376;2103_06011;2104_00165;2105_05609;2105_14753;2107_06749;2108_03694;2108_10552;2109_06452;2109_13751;2111_05283;2112_00427;2202_02556;2202_13076;2205_07657;2205_13474;2206_04511;2206_06506;2207_07332;2207_10494;2208_02253;2210_01244;2211_07761;2211_09939;2211_12156;2211_12324;2301_05191;2301_09522;2303_08778;2303_09681;2304_06793;2304_10211;2305_18371;2306_02960;2307_01047;2307_01694;2307_04129;2307_11349;2307_14332;2307_15829;2308_11771;2310_02361;2311_13186;2312_00425;2312_08213;2312_09800;2312_14261;2312_16071;2312_16222;2401_09331;2401_17064;2401_17151;2402_01287;2402_10078;2402_10476;2402_11662;2403_08119;2403_15192;2403_15717;2403_19976;2404_11770;2404_19165;2404_19489;2406_14178;2407_04277;2408_07996;2409_12507;2409_12778;2409_17029;2409_17680;2409_18038;2410_06698;2411_02854;2411_03022;2411_05806;2411_17313;2412_00133;2412_06191;2412_07761;2412_08120;2501_02916;2501_15808;2502_19630;2503_01214;2503_03307;2503_06992;2503_16012;2503_17132;2503_19916;2503_20101;2504_10400;2504_13457;2505_07556;2505_11433;2507_07734;2508_04564;2508_19806;2509_04117;2509_09977;2510_00681;2510_24231;2511_12150;2511_22554;2512_09592;2602_02439;Ahmed et al. - 2025 - Efficient Event-Based Object Detection A Hybrid Neural Network with Spatial and Temporal Attention;Alberico et al. - 2025 - Egocentric Event-Based Vision for Ping Pong Ball Trajectory Prediction;Aliminati et al. - 2024 - SEVD Synthetic Event-based Vision Dataset for Ego and Fixed Traffic Perception;Aspragkathos et al. - 2023 - An Event-Based Tracking Control Framework for Multirotor Aerial Vehicles Using a Dynamic Vision Sens;Bouvier - 2021 - Study and design of an energy efficient perception module combining event-based image sensors and sp;Cao et al. - 2021 - Fusion-Based Feature Attention Gate Component for Vehicle Detection Based on Event Camera;Cao et al. - 2021 - Fusion-Based Feature Attention Gate Component for Vehicle Detection Based on Event Camera_1;Cao et al. - 2022 - NeuroGrasp Multimodal Neural Network With Euler Region Regression for Neuromorphic Vision-Based Gra;Cao et al. - 2024 - Chasing Day and Night Towards Robust and Efficient All-Day Object Detection Guided by an Event Came;Chen and Yu - 2024 - Motion Deblur by Learning Residual From Events;Chen et al. - 2023 - ECSNet Spatio-Temporal Feature Learning for Event Camera;Chiavazza et al. - 2023 - Low-latency monocular depth estimation using event timing on neuromorphic hardware;Cimarelli et al. - 2025 - Hardware, Algorithms, and Applications of the Neuromorphic Vision Sensor a Review;EVEN_An_Event-Based_Framework_for_Monocular_Depth_Estimation_at_Adverse_Night;Eliasson and Persson - 2025 - Event-Cameras and Spiking Neural Networks for Tracking and Classification in Traffic Monitoring;Eshraghian et al. - 2023 - Training Spiking Neural Networks Using Lessons From Deep Learning;Event_Stream-Based_Visual_Object_Tracking_A_High-Resolution_Benchmark_Dataset_and_A_Novel_Baseline;Fan et al. - 2025 - Efficient Spiking Neural Network for RGB–Event Fusion-Based Object Detection;Gehrig and Scaramuzza - 2023 - Recurrent Vision Transformers for Object Detection with Event Cameras;Hagenaars and Paredes-Vallés - Self-Supervised Learning of Event-Based Optical Flow with Spiking Neural Networks;Ikura et al. - 2024 - RATE Real-time Asynchronous Feature Tracking with Event Cameras;Kamble et al. - 2024 - Neuromorphic Computing Cutting-Edge Advances and Future Directions;Li et al. - 2022 - Asynchronous Spatio-Temporal Memory Network for Continuous Event-Based Object Detection;Li et al. - 2023 - SODFormer Streaming Object Detection With Transformer Using Events and Frames;Li et al. - 2024 - Dynamic Obstacle Detection for Quadrotors with Event Cameras;Li et al. - 2024 - HDI-Former Hybrid Dynamic Interaction ANN-SNN Transformer for Object Detection Using Frames and Eve;Liu et al. - 2023 - ESVIO Event-Based Stereo Visual-Inertial Odometry;Liu et al. - 2023 - Motion Robust High-Speed Light-Weighted Object Detection With Event Camera;Liu et al. - 2024 - Enhancing Traffic Object Detection in Variable Illumination With RGB-Event Fusion;Long et al. - 2025 - Spike-BRGNet Efficient and Accurate Event-Based Semantic Segmentation With Boundary Region-Guided S;Luo et al. - 2024 - TransCODNet Underwater Transparently Camouflaged Object Detection via RGB and Event Frames Collabor;Luo et al. - 2026 - Learning Efficient Meshflow and Optical Flow From Event Cameras;Ma et al. - 2025 - DSF-Net Dynamic Sparse Fusion of Event-RGB via Spike-Triggered Attention for High-Speed Detection;Messikommer et al. - 2023 - Data-Driven Feature Tracking for Event Cameras;Monforte et al. - 2023 - Fast Trajectory End-Point Prediction with Event Cameras for Reactive Robot Control;Paredes-Vallés et al. - 2023 - Taming Contrast Maximization for Learning Sequential, Low-latency, Event-based Optical Flow;Peng et al. - 2023 - GET Group Event Transformer for Event-Based Vision;Peng et al. - 2024 - Scene Adaptive Sparse Transformer for Event-based Object Detection;Qiao et al. - 2024 - Spatio-Temporal Fusion Spiking Neural Network for Frame-Based and Event-Based Camera Sensor Fusion;SSTFormer_Bridging_Spiking_Neural_Network_and_Memory_Support_Transformer_for_Frame-Event_Based-Recognition;Schaefer et al. - 2022 - AEGNN Asynchronous Event-based Graph Neural Networks;Schnider et al. - 2023 - Neuromorphic Optical Flow and Real-Time Implementation With Event Cameras;Shair and Rawashdeh - 2022 - High-temporal-resolution event-based vehicle detection and tracking;Shen et al. - 2023 - Training Robust Spiking Neural Networks on Neuromorphic Data with Spatiotemporal Fragments;Stoffregen et al. - 2019 - Event-Based Motion Segmentation by Motion Compensation;Stoffregen et al. - 2019 - Event-Based Motion Segmentation by Motion Compensation_1;Stumpp et al. - 2024 - Flow-Based Visual Stream Compression for Event Cameras;Sun et al. - 2025 - DCR-EFlow Dynamic Correlation Recurrent Architecture for Optical Flow Estimation Based on Event Cam;Wang et al. - 2024 - Event Stream-Based Visual Object Tracking A High-Resolution Benchmark Dataset and A Novel Baseline;Wang et al. - 2025 - SSTFormer Bridging Spiking Neural Network and Memory Support Transformer for Frame-Event Based-Reco;Wu et al. - 2024 - Lightweight Event-based Optical Flow Estimation via Iterative Deblurring;Xie et al. - 2024 - EISNet A Multi-Modal Fusion Network for Semantic Segmentation With Events and Images;Yang et al. - 2025 - Focus Through Motion RGB-Event Collaborative Token Sparsification for Efficient Object Detection;Ye et al. - 2025 - Towards Anytime Optical Flow Estimation with Event Cameras;Yu et al. - 2025 - SpikingViT A Multiscale Spiking Vision Transformer Model for Event-Based Object Detection;Zhang et al. - 2025 - Frequency-Adaptive Low-Latency Object Detection Using Events and Frames;Zhang et al. - 2025 - Spiking neural networks for object detection and semantic segmentation across event-driven and frame;Zhang et al. - Spiking neural networks for object detection and semantic segmentation across event-driven and frame;Zhao et al. - 2022 - Reconstructing Clear Image for High-Speed Motion Scene With a Retina-Inspired Spike Camera;Zhou et al. - 2023 - RGB-Event Fusion for Moving Object Detection in Autonomous Driving;Zhou et al. - 2024 - Steering Prediction via a Multi-Sensor System for Autonomous Racing;Zhou et al. - 2025 - Spatially-guided Temporal Aggregation for Robust Event-RGB Optical Flow Estimation;Zhuang et al. - 2024 - EV-MGRFlowNet Motion-Guided Recurrent Network for Unsupervised Event-Based Optical Flow With Hybrid;Zubić et al. - 2023 - From Chaos Comes Order Ordering Event Representations for Object Recognition and Detection;Zubić et al. - 2024 - State Space Models for Event Cameras;aaaaaaaaaaaaaa"
Loihi: A neuromorphic manycore processor with on-chip learning,"Mike Davies, Narayan Srinivasa, Tsung Han Lin, Gautham Chinya, Yongqiang Cao, Sri Harsha Choday, Georgios Dimou, Prasad Joshi, Nabil Imam, and Shweta Jain",2018,"IEEE Micro, 38(1):82–",125,topical+frequent,"1909_12942;1910_04972;1910_12459;1911_13097;2002_01406;2002_11163;2003_01157;2003_02790;2003_06310;2003_11639;2004_05450;2005_02183;2006_07239;2009_08378;2011_00534;2103_10592;2104_00165;2105_06562;2106_08921;2107_00401;2107_00415;2108_02023;2108_03694;2108_12444;2109_00533;2109_13751;2110_10217;2110_12211;2111_11838;2112_07019;2201_02538;2201_10943;2203_14679;2204_06216;2205_12295;2205_13585;2206_02876;2206_06506;2207_02702;2208_02253;2209_12010;2210_01244;2210_05006;2211_07761;2301_08281;2301_09522;2303_01826;2303_08778;2304_03896;2304_06793;2305_11322;2305_18371;2306_02960;2307_05225;2308_00787;2308_11152;2308_12063;2309_03221;2309_12761;2309_12937;2310_06488;2311_08806;2311_13186;2312_07466;2312_14261;2401_02020;2402_05441;2402_11662;2402_19061;2403_00270;2403_05772;2403_08786;2404_17092;2404_19165;2405_02316;2406_00473;2406_14178;2407_14073;2408_07150;2408_12608;2409_01564;2409_03368;2409_17680;2411_16061;2411_17439;2501_07331;2501_07683;2502_21193;2504_03800;2504_11720;2505_08514;2507_10561;2508_04564;2508_11988;2508_20121;2509_17461;2509_23516;2510_07427;2511_06770;2511_08708;2511_12150;2511_22554;2512_19365;2601_12156;Ahmed et al. - 2025 - Efficient Event-Based Object Detection A Hybrid Neural Network with Spatial and Temporal Attention;Aspragkathos et al. - 2023 - An Event-Based Tracking Control Framework for Multirotor Aerial Vehicles Using a Dynamic Vision Sens;Bouvier - 2021 - Study and design of an energy efficient perception module combining event-based image sensors and sp;Chaney et al. - 2021 - Self-Supervised Optical Flow with Spiking Neural Networks and Event Based Cameras;Chiavazza et al. - 2023 - Low-latency monocular depth estimation using event timing on neuromorphic hardware;Cimarelli et al. - 2025 - Hardware, Algorithms, and Applications of the Neuromorphic Vision Sensor a Review;Cordone et al. - 2021 - Learning from Event Cameras with Sparse Spiking Convolutional Neural Networks;Eshraghian et al. - 2023 - Training Spiking Neural Networks Using Lessons From Deep Learning;Event-Based_Vision_A_Survey;Gallego et al. - 2022 - Event-based Vision A Survey;Kamble et al. - 2024 - Neuromorphic Computing Cutting-Edge Advances and Future Directions;Koo et al. - 2020 - sBSNN Stochastic-Bits Enabled Binary Spiking Neural Network With On-Chip Learning for Energy Effici;Kosta and Roy - 2022 - Adaptive-SpikeNet Event-based Optical Flow Estimation using Spiking Neural Networks with Learnable;Lien and Chang - 2022 - Sparse Compressed Spiking Neural Network Accelerator for Object Detection;Lin et al. - 2025 - Benchmarking Spiking Neural Network Learning Methods With Varying Locality;Perot and de Tournemire - Learning to Detect Objects with a 1 Megapixel Event Camera;Qiao et al. - 2024 - Spatio-Temporal Fusion Spiking Neural Network for Frame-Based and Event-Based Camera Sensor Fusion;Schnider et al. - 2023 - Neuromorphic Optical Flow and Real-Time Implementation With Event Cameras;Su et al. - 2023 - Deep Directly-Trained Spiking Neural Networks for Object Detection;Zhang et al. - 2025 - Spiking neural networks for object detection and semantic segmentation across event-driven and frame;Zhang et al. - Spiking neural networks for object detection and semantic segmentation across event-driven and frame"
Surrogate gradient learning in spiking neural networks: Bringing the power of gradient-based optimization to spiking neural networks,"E. O. Neftci, H. Mostafa, and F. Zenke",2019,IEEE Signal Processing Magazine,100,topical+frequent,2003_02790;2006_07239;2006_09985;2010_14217;2104_00165;2105_05609;2107_00401;2107_11711;2107_11979;2109_13751;2201_02538;2201_10943;2205_04263;2205_07473;2206_06506;2208_02253;2209_12010;2210_00894;2211_07761;2301_08281;2301_09522;2302_14726;2303_08778;2303_14176;2304_03896;2304_10211;2304_11857;2305_11322;2306_00807;2306_12465;2307_12900;2308_00787;2308_11152;2309_12937;2309_16987;2310_12985;2311_09225;2311_16456;2312_14261;2312_16071;2312_17216;2401_02020;2401_06563;2401_17064;2402_01287;2402_06211;2402_11662;2403_00270;2403_05772;2403_14302;2403_15192;2404_03493;2404_14964;2405_14474;2406_00473;2407_14073;2408_01701;2409_01564;2409_03368;2409_04082;2411_03022;2411_15409;2411_16061;2411_17439;2412_17654;2501_07331;2502_21193;2503_16012;2504_06730;2504_06748;2505_06544;2507_10561;2508_11988;2509_17461;2509_23516;2510_06629;2510_07427;2510_20997;2511_22554;2512_02258;2602_02439;Ahmed et al. - 2025 - Efficient Event-Based Object Detection A Hybrid Neural Network with Spatial and Temporal Attention;Bouvier - 2021 - Study and design of an energy efficient perception module combining event-based image sensors and sp;Cordone et al. - 2021 - Learning from Event Cameras with Sparse Spiking Convolutional Neural Networks;Cordone et al. - 2022 - Object Detection with Spiking Neural Networks on Automotive Event Data;Eshraghian et al. - 2023 - Training Spiking Neural Networks Using Lessons From Deep Learning;Fang et al. - Deep Residual Learning in Spiking Neural Networks;Gehrig and Scaramuzza - 2023 - Recurrent Vision Transformers for Object Detection with Event Cameras;Hagenaars and Paredes-Vallés - Self-Supervised Learning of Event-Based Optical Flow with Spiking Neural Networks;Li - Brain-Inspired Spiking Neural Networks for Energy-Efficient Object Detection;Li et al. - 2022 - Asynchronous Spatio-Temporal Memory Network for Continuous Event-Based Object Detection;Li et al. - 2024 - HDI-Former Hybrid Dynamic Interaction ANN-SNN Transformer for Object Detection Using Frames and Eve;Lin et al. - 2025 - Benchmarking Spiking Neural Network Learning Methods With Varying Locality;Long et al. - 2025 - Spike-BRGNet Efficient and Accurate Event-Based Semantic Segmentation With Boundary Region-Guided S;Masked_Spiking_Transformer;Mazurek et al. - 2025 - Three-Factor Learning in Spiking Neural Networks An Overview of Methods and Trends from a Machine L;Qiao et al. - 2024 - Spatio-Temporal Fusion Spiking Neural Network for Frame-Based and Event-Based Camera Sensor Fusion;Schnider et al. - 2023 - Neuromorphic Optical Flow and Real-Time Implementation With Event Cameras;Su et al. - 2023 - Deep Directly-Trained Spiking Neural Networks for Object Detection;Yu et al. - 2025 - SpikingViT A Multiscale Spiking Vision Transformer Model for Event-Based Object Detection
"A Low Power, Fully EventBased Gesture Recognition System",A. Amir et al,2017,[Online]. Available: http://openaccess.thecvf.com/content cvpr /html/Amir A Low Power CVPR  paper.html,95,topical+frequent,"1805_03988;1903_07067;1904_04805;1906_08859;1910_03579;1910_04972;1911_12801;2001_01248;2003_02790;2004_04079;2005_02183;2006_09985;2009_13049;2010_14217;2012_06516;2102_11916;2104_00165;2105_06562;2105_14753;2107_00401;2107_00415;2109_00533;2110_12211;2201_10943;2206_04511;2206_06506;2207_10494;2211_12222;2211_12324;2301_09522;2305_11322;2307_11349;2307_14332;2309_16987;2311_08806;2311_09225;2311_11853;2312_14261;2401_17064;2402_05441;2403_00270;2403_14302;2403_19976;2407_00931;2407_05262;2407_21616;2408_00611;2408_12978;2409_12507;2410_06698;2411_02854;2411_03022;2411_05806;2411_16440;2501_11554;2501_14484;2502_05938;2503_17132;2504_06748;2504_13457;2505_14719;2507_07734;2510_06629;2510_14770;2511_06770;2511_12095;2512_16259;AliAkbarpour et al. - 2024 - Emerging Trends and Applications of Neuromorphic Dynamic Vision Sensors A Survey;Aliminati et al. - 2024 - SEVD Synthetic Event-based Vision Dataset for Ego and Fixed Traffic Perception;Chen et al. - 2023 - ECSNet Spatio-Temporal Feature Learning for Event Camera;Chen et al. - 2024 - SpikMamba When SNN meets Mamba in Event-based Human Action Recognition;Chen et al. - 2024 - SpikMamba When SNN meets Mamba in Event-based Human Action Recognition_1;Cordone et al. - 2021 - Learning from Event Cameras with Sparse Spiking Convolutional Neural Networks;Cuadrado et al. - 2023 - Optical flow estimation from event-based cameras and spiking neural networks;Eshraghian et al. - 2023 - Training Spiking Neural Networks Using Lessons From Deep Learning;Fang et al. - 2021 - Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks;Fang et al. - Deep Residual Learning in Spiking Neural Networks;Gallego et al. - 2022 - Event-based Vision A Survey;Hagenaars and Paredes-Vallés - Self-Supervised Learning of Event-Based Optical Flow with Spiking Neural Networks;Innocenti et al. - 2020 - Temporal Binary Representation for Event-Based Action Recognition;Kim et al. - 2021 - N-ImageNet Towards Robust, Fine-Grained Object Recognition with Event Cameras;Kosta and Roy - 2022 - Adaptive-SpikeNet Event-based Optical Flow Estimation using Spiking Neural Networks with Learnable;Kosta et al. - 2025 - TOFFE -- Temporally-binned Object Flow from Events for High-speed and Energy-Efficient Object Detect;Li et al. - 2022 - Asynchronous Spatio-Temporal Memory Network for Continuous Event-Based Object Detection;Lin et al. - 2025 - Benchmarking Spiking Neural Network Learning Methods With Varying Locality;Nagaraj et al. - 2022 - DOTIE - Detecting Objects through Temporal Isolation of Events using a Spiking Architecture;Patiño-Saucedo et al. - 2022 - Liquid State Machine on SpiNNaker for Spatio-Temporal Classification Tasks;Peng et al. - 2023 - GET Group Event Transformer for Event-Based Vision;Perot and de Tournemire - Learning to Detect Objects with a 1 Megapixel Event Camera;SSTFormer_Bridging_Spiking_Neural_Network_and_Memory_Support_Transformer_for_Frame-Event_Based-Recognition;Schaefer et al. - 2022 - AEGNN Asynchronous Event-based Graph Neural Networks;Wang et al. - 2025 - SSTFormer Bridging Spiking Neural Network and Memory Support Transformer for Frame-Event Based-Reco;Zhu et al. - 2018 - EV-FlowNet Self-Supervised Optical Flow Estimation for Event-based Cameras"
Spatio-temporal backpropagation for training high-performance spiking neural networks,"Yujie Wu, Lei Deng, Guoqi Li, Jun Zhu, and Luping Shi",2018,"Frontiers in Neuroscience, 12:331–",86,topical+frequent,1909_12942;2003_01157;2003_02790;2005_02183;2006_09982;2008_04509;2103_02376;2107_00401;2107_11711;2201_10943;2205_07473;2205_13292;2205_13474;2206_06506;2207_02702;2208_02253;2209_12010;2211_04297;2211_12156;2211_12222;2301_09522;2302_07328;2303_12738;2304_11857;2305_18371;2306_00807;2306_12465;2308_12063;2309_16987;2310_02361;2310_06488;2310_12985;2311_11853;2312_16071;2401_02020;2402_10078;2402_19061;2403_00270;2404_03493;2404_17092;2405_17903;2407_05262;2407_14073;2409_01564;2409_03368;2409_11619;2409_12691;2410_06698;2411_05806;2411_14147;2411_16061;2411_17439;2411_19422;2412_11753;2412_17654;2501_14484;2501_15808;2501_19072;2502_21193;2504_01755;2504_06730;2504_11482;2507_10561;2510_14770;2511_08708;2511_12095;2512_01882;2512_16259;2602_02439;Chen et al. - 2024 - SpikMamba When SNN meets Mamba in Event-based Human Action Recognition;Chen et al. - 2024 - SpikMamba When SNN meets Mamba in Event-based Human Action Recognition_1;Eshraghian et al. - 2023 - Training Spiking Neural Networks Using Lessons From Deep Learning;Event-Based_Vision_A_Survey;Fang et al. - 2021 - Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks;Fang et al. - Deep Residual Learning in Spiking Neural Networks;Gallego et al. - 2022 - Event-based Vision A Survey;Hagenaars and Paredes-Vallés - Self-Supervised Learning of Event-Based Optical Flow with Spiking Neural Networks;Li - Brain-Inspired Spiking Neural Networks for Energy-Efficient Object Detection;Long et al. - 2025 - Spike-BRGNet Efficient and Accurate Event-Based Semantic Segmentation With Boundary Region-Guided S;SSTFormer_Bridging_Spiking_Neural_Network_and_Memory_Support_Transformer_for_Frame-Event_Based-Recognition;Su et al. - 2023 - Deep Directly-Trained Spiking Neural Networks for Object Detection;Wang et al. - 2025 - SSTFormer Bridging Spiking Neural Network and Memory Support Transformer for Frame-Event Based-Reco;Yang and Yang - 2025 - DriveGazen Event-Based Driving Status Recognition Using Conventional Camera;Zhang et al. - 2025 - Spiking neural networks for object detection and semantic segmentation across event-driven and frame;Zhang et al. - Spiking neural networks for object detection and semantic segmentation across event-driven and frame;Zheng et al. - 2021 - Going Deeper With Directly-Trained Larger Spiking Neural Networks
Networks of spiking neurons: The third generation of neural network models,W. Maass,1997,"Neural Networks, 10(9):1659–1671, Dec",83,topical+frequent,1807_09480;1910_09993;2003_01157;2004_05450;2005_02183;2009_08309;2011_01641;2102_01966;2103_02376;2105_05609;2107_00415;2108_02023;2108_12444;2109_00533;2109_06452;2110_12211;2203_14679;2205_07473;2205_12295;2205_13585;2206_02876;2206_06506;2207_02702;2209_12010;2209_14915;2211_07761;2303_08778;2304_03896;2308_12063;2309_00241;2309_12937;2310_06488;2311_08806;2312_14261;2401_02020;2402_11662;2402_19061;2403_14302;2403_15192;2405_02316;2405_17903;2409_03368;2409_12507;2411_02854;2411_16061;2411_17439;2412_17654;2501_14484;2501_15151;2502_21193;2503_04223;2503_08703;2503_13492;2503_17132;2504_03800;2507_07734;2507_16043;2508_11988;2508_12271;2508_14607;2510_06629;2510_14770;2511_06770;2511_12095;2512_01882;2512_02258;2512_16259;2512_19365;2512_22214;2602_02439;Bouvier - 2021 - Study and design of an energy efficient perception module combining event-based image sensors and sp;Cannici et al. - 2018 - Event-based Convolutional Networks for Object Detection in Neuromorphic Cameras;Cannici et al. - 2019 - Asynchronous Convolutional Networks for Object Detection in Neuromorphic Cameras;Cordone et al. - 2021 - Learning from Event Cameras with Sparse Spiking Convolutional Neural Networks;Fang et al. - 2021 - Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks;Li - Brain-Inspired Spiking Neural Networks for Energy-Efficient Object Detection;Li et al. - 2024 - HDI-Former Hybrid Dynamic Interaction ANN-SNN Transformer for Object Detection Using Frames and Eve;Lin et al. - 2025 - Benchmarking Spiking Neural Network Learning Methods With Varying Locality;Masked_Spiking_Transformer;Qu et al. - 2025 - Spiking Neural Network for Ultralow-Latency and High-Accurate Object Detection;Su et al. - 2023 - Deep Directly-Trained Spiking Neural Networks for Object Detection
SLAYER: Spike Layer Error Reassignment in Time,S. B. Shrestha and G. Orchard,2018,"in Advances in Neural Information Processing Systems 31, S. Bengio, H. Wallach, H. Larochelle, K. Grauman, N. Cesa-Bianchi, and R. Garnett, Eds. Curran Associates, Inc",76,topical+frequent,"1901_09948;1910_04972;1910_09993;2003_01157;2003_02790;2005_02183;2006_09982;2006_09985;2010_14217;2104_00165;2105_06562;2107_00401;2107_00415;2107_11711;2109_00533;2205_07473;2206_02876;2207_02702;2209_14915;2211_04297;2211_12222;2301_09522;2302_07328;2302_08607;2303_12738;2304_03896;2304_11857;2305_18371;2306_12465;2307_12900;2308_00787;2308_11152;2309_15883;2309_16987;2310_06488;2310_12985;2401_02020;2401_15212;2401_17064;2402_01287;2403_00270;2409_03368;2410_06698;2411_03022;2411_05806;2412_17654;2501_07331;2503_17132;2505_08514;2508_19806;2508_20121;2511_22554;Chaney et al. - 2021 - Self-Supervised Optical Flow with Spiking Neural Networks and Event Based Cameras;Chen et al. - 2024 - SpikMamba When SNN meets Mamba in Event-based Human Action Recognition;Chen et al. - 2024 - SpikMamba When SNN meets Mamba in Event-based Human Action Recognition_1;Cimarelli et al. - 2025 - Hardware, Algorithms, and Applications of the Neuromorphic Vision Sensor a Review;Cordone et al. - 2021 - Learning from Event Cameras with Sparse Spiking Convolutional Neural Networks;Eshraghian et al. - 2023 - Training Spiking Neural Networks Using Lessons From Deep Learning;Event-Based_Vision_A_Survey;Fang et al. - 2021 - Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks;Fang et al. - Deep Residual Learning in Spiking Neural Networks;Gallego et al. - 2022 - Event-based Vision A Survey;Gehrig and Scaramuzza - 2023 - Recurrent Vision Transformers for Object Detection with Event Cameras;Hagenaars and Paredes-Vallés - Self-Supervised Learning of Event-Based Optical Flow with Spiking Neural Networks;Innocenti et al. - 2020 - Temporal Binary Representation for Event-Based Action Recognition;Li - Brain-Inspired Spiking Neural Networks for Energy-Efficient Object Detection;Li et al. - 2022 - Asynchronous Spatio-Temporal Memory Network for Continuous Event-Based Object Detection;Peng et al. - 2023 - GET Group Event Transformer for Event-Based Vision;Perot and de Tournemire - Learning to Detect Objects with a 1 Megapixel Event Camera;Qiao et al. - 2024 - Spatio-Temporal Fusion Spiking Neural Network for Frame-Based and Event-Based Camera Sensor Fusion;Qu et al. - 2025 - Spiking Neural Network for Ultralow-Latency and High-Accurate Object Detection;Schaefer et al. - 2022 - AEGNN Asynchronous Event-based Graph Neural Networks;Ussa et al. - 2024 - A Hybrid Neuromorphic Object Tracking and Classification Framework for Real-Time Systems;Zhou et al. - 2023 - RGB-Event Fusion for Moving Object Detection in Autonomous Driving;aaaaaaaaaaaaaa"
Converting Static Image Datasets to Spiking Neuromorphic Datasets Using Saccades,"G. Orchard, A. Jayawant, G. K. Cohen, and N. Thakor",2015,"Front. Neurosci., 9, Nov",73,topical+frequent,"1807_09480;1904_04805;1907_07853;1908_06648;1910_03579;1911_08261;1911_12801;2001_08499;2003_02790;2005_02183;2102_07243;2104_00165;2105_06562;2105_14331;2107_00401;2107_00415;2109_00533;2110_12211;2111_05283;2206_06506;2209_14915;2211_07761;2211_12222;2211_12324;2301_08281;2301_09522;2302_08890;2304_06793;2304_13098;2311_11853;2312_14261;2402_10078;2403_00270;2405_14474;2407_21616;2408_00611;2409_12507;2409_12778;2410_06698;2411_03022;2411_05806;2412_06647;2501_14484;2506_03918;2510_06629;2510_07427;2511_12095;2511_12150;2512_16259;2602_02439;AliAkbarpour et al. - 2024 - Emerging Trends and Applications of Neuromorphic Dynamic Vision Sensors A Survey;Bouvier - 2021 - Study and design of an energy efficient perception module combining event-based image sensors and sp;Cannici et al. - 2018 - Event-based Convolutional Networks for Object Detection in Neuromorphic Cameras;Cannici et al. - 2019 - Asynchronous Convolutional Networks for Object Detection in Neuromorphic Cameras;Chen - 2018 - Pseudo-Labels for Supervised Learning on Dynamic Vision Sensor Data, Applied to Object Detection Und;Chen et al. - 2023 - ECSNet Spatio-Temporal Feature Learning for Event Camera;Eshraghian et al. - 2023 - Training Spiking Neural Networks Using Lessons From Deep Learning;Event-Based_Vision_A_Survey;Fang et al. - 2021 - Incorporating Learnable Membrane Time Constant to Enhance Learning of Spiking Neural Networks;Gallego et al. - 2022 - Event-based Vision A Survey;Hagenaars and Paredes-Vallés - Self-Supervised Learning of Event-Based Optical Flow with Spiking Neural Networks;Kim et al. - 2021 - N-ImageNet Towards Robust, Fine-Grained Object Recognition with Event Cameras;Kosta and Roy - 2022 - Adaptive-SpikeNet Event-based Optical Flow Estimation using Spiking Neural Networks with Learnable;Lin et al. - 2025 - Benchmarking Spiking Neural Network Learning Methods With Varying Locality;Masked_Spiking_Transformer;Mazurek et al. - 2025 - Three-Factor Learning in Spiking Neural Networks An Overview of Methods and Trends from a Machine L;Perot and de Tournemire - Learning to Detect Objects with a 1 Megapixel Event Camera;Qiao et al. - 2024 - Spatio-Temporal Fusion Spiking Neural Network for Frame-Based and Event-Based Camera Sensor Fusion;Schaefer et al. - 2022 - AEGNN Asynchronous Event-based Graph Neural Networks;Shen et al. - 2023 - Training Robust Spiking Neural Networks on Neuromorphic Data with Spatiotemporal Fragments;Zhu et al. - 2018 - EV-FlowNet Self-Supervised Optical Flow Estimation for Event-based Cameras"
